metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,4.539200,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,7.440200,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,3.576100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,5.493200,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,7.440200,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,4.530100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,5.999900,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,7.440200,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,4.530100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.506700,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,5.999900,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,7.440200,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,5.036800,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,6.535400,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,7.440200,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,5.572300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,6.684400,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,8.403300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,5.721300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,6.228300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,8.403300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,6.228300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,6.367500,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,8.403300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,6.367500,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,6.873800,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,8.403300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,6.873800,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611343,1.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611343,7.024000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611343,8.403300,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611343,0.963100,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611343,7.024000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611343,0.000000,,,,true,,PUT,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611343,1.000000,status was 200,,,,,,,,default,,,,,,,
vus,1701611344,10.000000,,,,,,,,,,,,,,,,
vus_max,1701611344,10.000000,,,,,,,,,,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1013.590200,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1013.895300,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1013.895300,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1014.098100,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1015.218000,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1015.218000,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1015.218000,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1015.218000,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
iteration_duration,1701611344,1016.313000,,,,,,,,,default,,,,,,,
iterations,1701611344,1.000000,,,,,,,,,default,,,,,,,
data_sent,1701611344,273.000000,,,,,,,,,default,,,,,,,
data_received,1701611344,415.000000,,,,,,,,,default,,,,,,,
